subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,question_id,question_text,response_index,participant_answer,response_text,correct_answer,is_correct,reaction_time_ms,recorder_timestamp,device_sample_number
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,V1Q1,商鞅变法发生在哪个国家？,2,C,秦国,C,True,1489,1789378561.6366756,110166
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,V1Q2,商鞅变法中，商鞅通过采取什么方法提升参军人数？,1,B,采取户籍制,B,True,3432,1789378561.6526756,110169
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,V1Q3,商鞅变法使秦国发生了怎样的变化？,1,B,国力大增，为统一六国奠定基础,B,True,5984,1789378561.6686757,110169
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,V1Q4,商鞅变法能够成功推行，离不开哪位国君的支持？,1,B,秦孝公,B,True,9119,1789378561.6686757,110169
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,V2Q1,“百家争鸣”局面出现在哪个历史时期？,2,C,春秋战国时期,C,True,2107,1789378980.0746756,213490
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,V2Q2,儒家学派的代表人物是？,1,B,孔子,B,True,4232,1789378980.0896757,213490
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,V2Q3,法家的集大成者韩非子，其思想核心是？,2,C,以法治国,C,True,6831,1789378980.1056757,213509
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,V2Q4,纵横家学派的代表人物是？,1,B,邹衍,C,False,19314,1789378980.1056757,213509
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,V3Q1,《道德经》的作者是？,2,C,老子,C,True,1683,1789379381.8246756,313932
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,V3Q2,《道德经》的核心思想是？,2,C,道法自然,C,True,5451,1789379381.8396757,313933
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,V3Q3,“无为而治”是哪个学派的政治主张？,1,B,道家,B,True,7570,1789379381.8396757,313933
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,V3Q4,老子认为，世间万物运行的根本规律是什么？,2,C,道,C,True,10415,1789379381.8556757,313933
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,4,4,V4,B,V4Q1,长平之战发生在哪两个国家之间？,1,B,秦与赵,B,True,5351,1789379787.2306757,412105
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,4,4,V4,B,V4Q2,长平之战中，赵国最初的将领是谁？,0,A,廉颇,A,True,7923,1789379787.2466755,412105
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,4,4,V4,B,V4Q3,长平之战中，秦国的主将是谁？,1,B,白起,B,True,14559,1789379787.2466755,412105
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,4,4,V4,B,V4Q4,长平之战对战国局势的影响是？,1,B,赵国元气大伤，秦国统一趋势加强,B,True,21003,1789379787.2466755,412106
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,5,5,V5,A,V5Q1,秦朝什么时候建立的？,1,B,公元前221年,B,True,1737,1789380286.7616756,531930
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,5,5,V5,A,V5Q2,秦始皇统一六国后，在地方上推行了什么制度来取代分封制？,1,B,郡县制,B,True,4166,1789380286.7776756,531931
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,5,5,V5,A,V5Q3,秦始皇统一后，规定全国通行的标准文字是什么？,2,C,小篆,C,True,6786,1789380286.7776756,531931
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,5,5,V5,A,V5Q4,秦始皇为促进各地经济交流，统一了以下哪一项？,0,A,统一货币为半两钱,A,True,9331,1789380286.7936757,531931
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,6,6,V6,B,V6Q1,孔子思想的核心是“仁”，根据孔子的解释，“仁”的实质是什么？,0,A,遵守周礼,B,False,5514,1789380720.2616756,640327
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,6,6,V6,B,V6Q2,孔子主张“为政以德”，他认为治理国家应该以什么为主？,1,B,以道德教化为主要手段,B,True,11795,1789380720.2776756,640328
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,6,6,V6,B,V6Q3,针对当时“礼崩乐坏”的社会环境，孔子提出了什么治国方案？,3,D,中庸,B,False,19935,1789380720.2936757,640337
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,6,6,V6,B,V6Q4,孔子提出的“中庸”思想，其核心含义是什么？,1,B,做事恰到好处，不走极端,B,True,24721,1789380720.2936757,640337
